Modelo,Precision,
SP_BRR_M,0.65257,1
SP_BRR_M,0.65303,2
SP_BRR_M,0.68934,3
SP_BRR_M,0.65172,4
SP_BRR_M,0.67076,5
SP_BRR_M,0.64091,6
SP_BRR_M,0.6935,7
SP_BRR_M,0.69207,8
SP_BRR_M,0.62811,9
SP_BRR_M,0.70149,10
SP_BRR_M,0.65851,11
SP_BRR_M,0.63728,12
SP_BRR_M,0.68229,13
SP_BRR_M,0.72546,14
SP_BRR_M,0.56809,15
SP_BRR_M,0.69805,16
SP_BRR_M,0.61422,17
SP_BRR_M,0.7047,18
SP_BRR_M,0.60067,19
SP_BRR_M,0.67023,20
SP_BRR_M,0.75585,21
SP_BRR_M,0.72048,22
SP_BRR_M,0.66299,23
SP_BRR_M,0.69726,24
SP_BRR_M,0.66603,25
SP_BRR_M,0.66342,26
SP_BRR_M,0.61972,27
SP_BRR_M,0.65648,28
SP_BRR_M,0.66773,29
SP_BRR_M,0.6203,30
SP_BRR_M,0.67511,31
SP_BRR_M,0.71217,32
SP_BRR_M,0.72091,33
SP_BRR_M,0.66088,34
SP_BRR_M,0.70265,35
SP_BRR_M,0.63915,36
SP_BRR_M,0.64917,37
SP_BRR_M,0.712,38
SP_BRR_M,0.65222,39
SP_BRR_M,0.66042,40
SP_BRR_M,0.60566,41
SP_BRR_M,0.68655,42
SP_BRR_M,0.69172,43
SP_BRR_M,0.64703,44
SP_BRR_M,0.73129,45
SP_BRR_M,0.72796,46
SP_BRR_M,0.73563,47
SP_BRR_M,0.68858,48
SP_BRR_M,0.67482,49
SP_BRR_M,0.64403,50
SP_RKHS_P,0.53273,1
SP_RKHS_P,0.35559,2
SP_RKHS_P,0.39969,3
SP_RKHS_P,0.31901,4
SP_RKHS_P,0.39794,5
SP_RKHS_P,0.29905,6
SP_RKHS_P,0.42785,7
SP_RKHS_P,0.44556,8
SP_RKHS_P,0.48329,9
SP_RKHS_P,0.44119,10
SP_RKHS_P,0.41462,11
SP_RKHS_P,0.35211,12
SP_RKHS_P,0.41116,13
SP_RKHS_P,0.44676,14
SP_RKHS_P,0.36428,15
